,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
4653,2018-07-02T00:00:00.000Z,187.18,187.3,183.42,183.82,17731343,44.3333560322,44.3617778867,43.4428045915,43.5375441064,70925372,0.0,1.0
4654,2018-07-03T00:00:00.000Z,183.92,187.95,183.54,187.79,13954806,43.5612289852,44.5157295986,43.471226446,44.4778337926,55819224,0.0,1.0
4655,2018-07-05T00:00:00.000Z,185.4,186.41,184.28,185.26,16604248,43.9117651906,44.1509824659,43.6464945487,43.8786063604,66416992,0.0,1.0
4656,2018-07-06T00:00:00.000Z,187.97,188.43,185.2,185.42,17485245,44.5204665743,44.6294170165,43.8643954331,43.9165021663,69940980,0.0,1.0
4657,2018-07-09T00:00:00.000Z,190.58,190.68,189.3,189.5,19756634,45.1386419095,45.1623267883,44.8354754616,44.8828452191,79026536,0.0,1.0
4658,2018-07-10T00:00:00.000Z,190.35,191.28,190.18,190.71,15939149,45.0841666884,45.3044360607,45.0439023945,45.1694322519,63756596,0.0,1.0
4659,2018-07-11T00:00:00.000Z,187.88,189.78,187.61,188.5,18831470,44.4991501834,44.9491628796,44.4352010108,44.6459964316,75325880,0.0,1.0
4660,2018-07-12T00:00:00.000Z,191.03,191.41,189.31,189.53,18041131,45.2452238639,45.3352264031,44.8378439495,44.8899506827,72164524,0.0,1.0
4661,2018-07-13T00:00:00.000Z,191.33,191.84,190.9,191.08,12519792,45.3162785001,45.4370713817,45.2144335215,45.2570663032,50079168,0.0,1.0
4662,2018-07-16T00:00:00.000Z,190.91,192.65,190.42,191.52,15043110,45.2168020094,45.6289188995,45.1007461035,45.3612797697,60172440,0.0,1.0
4663,2018-07-17T00:00:00.000Z,191.45,191.87,189.2,189.75,15534523,45.3447003546,45.4441768453,44.8117905828,44.9420574159,62138092,0.0,1.0
4664,2018-07-18T00:00:00.000Z,190.4,191.8,189.93,191.78,16393381,45.0960091278,45.4275974302,44.9846901977,45.4228604544,65573524,0.0,1.0
4665,2018-07-19T00:00:00.000Z,191.88,192.55,189.69,189.69,20286752,45.4465453332,45.6052340208,44.9278464887,44.9278464887,81147008,0.0,1.0
